entity,entity_type,gradient_set,stratum,n,transform,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change,original_reference_residual_std,rms_change_over_residual_std
2864601_0.437,member,varied,all,1000,stellarator_parity,0.003581450589001179,0.030133937381207943,0.06831108867270726,0.8217616677284241,0.03279300738912255,0.26622242545337277,0.25659404370752953
2864601_0.437,member,varied,all,1000,plain_reversal_control,-0.07864894643425942,0.28809890849888325,0.4606568448208385,2.8416677713394165,0.22114013419456965,0.26622242545337277,1.7303457589507978
2864601_0.437,member,varied,stable_near_floor,240,stellarator_parity,5.610634883244832e-05,0.010257699092229207,0.03237336420987716,0.26384830474853516,0.016809233506633457,0.17004462739026538,0.19038157633512184
2864601_0.437,member,varied,stable_near_floor,240,plain_reversal_control,0.05398187475899855,0.11247706425686678,0.3053093336749602,2.2236014008522034,0.15852587479713617,0.17004462739026538,1.7954659218621005
2864601_0.437,member,varied,unstable,760,stellarator_parity,0.004694717191159725,0.03641064420930649,0.07621711115714444,0.8217616677284241,0.03577722771402622,0.3009878890093701,0.2532231825273598
2864601_0.437,member,varied,unstable,760,plain_reversal_control,-0.12053236365318298,0.34355843825952004,0.49978076675957384,2.8416677713394165,0.23460309670595253,0.3009878890093701,1.6604680288116678
2864601_0.437,member,fixed,all,1000,stellarator_parity,-0.0001360771656036377,0.0015757558345794677,0.002560902185868712,0.021964430809020996,0.0012976001213288043,,
2864601_0.437,member,fixed,all,1000,plain_reversal_control,-0.004985812306404114,0.016503103375434876,0.02246600606680768,0.18793082237243652,0.01138344617725974,,
2864601_0.437,member,fixed,stable_near_floor,23,stellarator_parity,-0.0012060041012971299,0.0017872478650963824,0.002315144905433704,0.0053865909576416016,0.0011986088348428855,,
2864601_0.437,member,fixed,stable_near_floor,23,plain_reversal_control,0.005140760670537534,0.008954587190047554,0.011782758686742148,0.029186010360717773,0.006100230973708836,,
2864601_0.437,member,fixed,unstable,977,stellarator_parity,-0.00011088953047472232,0.001570777004792478,0.0025664041567786977,0.021964430809020996,0.00129974325006717,,
2864601_0.437,member,fixed,unstable,977,plain_reversal_control,-0.005224206552534777,0.016680806417670196,0.022656896621685,0.18793082237243652,0.011474478161875919,,
2864601_0.371,member,varied,all,1000,stellarator_parity,-0.005557975143194198,0.033211151689291,0.07311067114909374,0.6792382001876831,0.0351931092329501,0.25641094789122804,0.28513084854749643
2864601_0.371,member,varied,all,1000,plain_reversal_control,-0.07229266333580017,0.2769560591578484,0.43779064162399045,2.490378677845001,0.2107382360150496,0.25641094789122804,1.7073788979154876
2864601_0.371,member,varied,stable_near_floor,240,stellarator_parity,-0.0013210066904624303,0.010140864923596383,0.037483445078295326,0.38054800033569336,0.019464849097179642,0.15362904661943755,0.24398670631047725
2864601_0.371,member,varied,stable_near_floor,240,plain_reversal_control,0.03414442390203476,0.09938788364330928,0.2737123747199029,1.9519471228122711,0.14213661681376843,0.15362904661943755,1.7816446872701748
2864601_0.371,member,varied,unstable,760,stellarator_parity,-0.006895965180898967,0.04049650540477351,0.08117531513794458,0.6792382001876831,0.03823481676848338,0.2919430521098296,0.27805188221230986
2864601_0.371,member,varied,unstable,760,plain_reversal_control,-0.10590437509511647,0.33303021984665016,0.4780445565497326,2.490378677845001,0.22516630820329353,0.2919430521098296,1.637458240896554
2864601_0.371,member,fixed,all,1000,stellarator_parity,0.00010944724082946778,0.0006883637905120849,0.0012261286911415302,0.009615063667297363,0.0005991860813970381,,
2864601_0.371,member,fixed,all,1000,plain_reversal_control,0.0005283405780792237,0.005438977718353271,0.007464223097845017,0.032634735107421875,0.0036476257516714185,,
