gradient_set,stratum,n,shift,exact_pooling_subgroup,entity,rms_change_q10,rms_change_median,rms_change_q90,rms_over_residual_std_q10,rms_over_residual_std_median,rms_over_residual_std_q90
varied,all,1000,0,True,member_distribution,0.0,0.0,0.0,0.0,0.0,0.0
varied,all,1000,0,True,ensemble_mean,0.0,0.0,0.0,0.0,0.0,0.0
varied,all,1000,0,True,ensemble_spread,0.0,0.0,0.0,,,
varied,all,1000,1,False,member_distribution,0.07785431145772263,0.09340598662185985,0.11332432368973766,0.29194042651482466,0.3481694946639965,0.42240855628023427
varied,all,1000,1,False,ensemble_mean,0.009833160718630649,0.009833160718630649,0.009833160718630649,0.043231051624203126,0.043231051624203126,0.043231051624203126
varied,all,1000,1,False,ensemble_spread,0.011217826749110524,0.011217826749110524,0.011217826749110524,,,
varied,all,1000,2,False,member_distribution,0.10592309980016339,0.12757514078168725,0.15296993738366257,0.39485595729542394,0.4742392088170543,0.5686014396904068
varied,all,1000,2,False,ensemble_mean,0.013580375834060871,0.013580375834060871,0.013580375834060871,0.059705515404219284,0.059705515404219284,0.059705515404219284
varied,all,1000,2,False,ensemble_spread,0.013267998753738464,0.013267998753738464,0.013267998753738464,,,
varied,all,1000,3,False,member_distribution,0.12081515090913361,0.1433640108535158,0.16420521896695686,0.4473505922378998,0.535616342917814,0.6059977051994413
varied,all,1000,3,False,ensemble_mean,0.014727227771669989,0.014727227771669989,0.014727227771669989,0.06474759869145366,0.06474759869145366,0.06474759869145366
varied,all,1000,3,False,ensemble_spread,0.014324006557396128,0.014324006557396128,0.014324006557396128,,,
varied,all,1000,4,False,member_distribution,0.11747561657740992,0.14057415546034785,0.16090205247419934,0.429891964215377,0.5254607111794207,0.6033019646454536
varied,all,1000,4,False,ensemble_mean,0.0132851916414518,0.0132851916414518,0.0132851916414518,0.058407751294134794,0.058407751294134794,0.058407751294134794
varied,all,1000,4,False,ensemble_spread,0.014601066275732977,0.014601066275732977,0.014601066275732977,,,
varied,all,1000,5,False,member_distribution,0.1319325213348174,0.15234051596899162,0.17441782535822448,0.49268180242500526,0.5671926154382578,0.6506411853085339
varied,all,1000,5,False,ensemble_mean,0.0152810754927287,0.0152810754927287,0.0152810754927287,0.06718256544387044,0.06718256544387044,0.06718256544387044
varied,all,1000,5,False,ensemble_spread,0.01542216434776637,0.01542216434776637,0.01542216434776637,,,
varied,all,1000,6,False,member_distribution,0.1320769698636896,0.1548142805160659,0.1757764470835199,0.49417236050943114,0.5715680680974171,0.6541223457925139
varied,all,1000,6,False,ensemble_mean,0.015132638494007119,0.015132638494007119,0.015132638494007119,0.06652996881311303,0.06652996881311303,0.06652996881311303
varied,all,1000,6,False,ensemble_spread,0.014745008273918279,0.014745008273918279,0.014745008273918279,,,
varied,all,1000,7,False,member_distribution,0.12106670228101742,0.1399532087791409,0.1623311876535385,0.44806004044554737,0.5187129762776324,0.6023364174276302
